Algorithm,Case,Size (n),Comparisons,Movements,Time (ms)
Bubble Sort,Average Case,50,1215,741,0.0
Selection Sort,Average Case,50,1225,47,0.0
Insertion Sort,Average Case,50,787,741,0.0
Bubble Sort,Average Case,100,4929,2703,1.0001659393310547
Selection Sort,Average Case,100,4950,97,0.0
Insertion Sort,Average Case,100,2801,2703,1.0018348693847656
Bubble Sort,Average Case,200,19647,10483,4.000186920166016
Selection Sort,Average Case,200,19900,193,3.000497817993164
Insertion Sort,Average Case,200,10680,10483,5.105018615722656
Bubble Sort,Average Case,400,79647,39787,18.680334091186523
Selection Sort,Average Case,400,79800,395,10.001182556152344
Insertion Sort,Average Case,400,40184,39787,10.255813598632812
Bubble Sort,Average Case,800,319429,159613,83.78410339355469
Selection Sort,Average Case,800,319600,791,43.16997528076172
Insertion Sort,Average Case,800,160406,159613,42.810916900634766
Bubble Sort,Average Case,1600,1279109,644938,380.85389137268066
Selection Sort,Average Case,1600,1279200,1594,186.13171577453613
Insertion Sort,Average Case,1600,646534,644938,194.0455436706543
Bubble Sort,Average Case,3200,5112405,2634569,1594.0299034118652
Selection Sort,Average Case,3200,5118400,3193,746.4683055877686
Insertion Sort,Average Case,3200,2637759,2634569,726.7420291900635
Bubble Sort,Average Case,6400,20471547,10143028,6069.68355178833
Selection Sort,Average Case,6400,20476800,6388,2967.109441757202
Insertion Sort,Average Case,6400,10149421,10143028,2831.0911655426025
Bubble Sort,Best Case,50,49,0,1.0027885437011719
Selection Sort,Best Case,50,1225,0,0.0
Insertion Sort,Best Case,50,49,0,0.0
Bubble Sort,Best Case,100,99,0,0.0
Selection Sort,Best Case,100,4950,0,0.6082057952880859
Insertion Sort,Best Case,100,99,0,0.0
Bubble Sort,Best Case,200,199,0,0.0
Selection Sort,Best Case,200,19900,0,2.00653076171875
Insertion Sort,Best Case,200,199,0,0.0
Bubble Sort,Best Case,400,399,0,0.0
Selection Sort,Best Case,400,79800,0,10.995149612426758
Insertion Sort,Best Case,400,399,0,0.0
Bubble Sort,Best Case,800,799,0,1.0504722595214844
Selection Sort,Best Case,800,319600,0,50.83894729614258
Insertion Sort,Best Case,800,799,0,0.0
Bubble Sort,Best Case,1600,1599,0,1.0018348693847656
Selection Sort,Best Case,1600,1279200,0,192.3062801361084
Insertion Sort,Best Case,1600,1599,0,1.0023117065429688
Bubble Sort,Best Case,3200,3199,0,0.9982585906982422
Selection Sort,Best Case,3200,5118400,0,789.5970344543457
Insertion Sort,Best Case,3200,3199,0,1.0025501251220703
Bubble Sort,Best Case,6400,6399,0,0.9973049163818359
Selection Sort,Best Case,6400,20476800,0,3028.4206867218018
Insertion Sort,Best Case,6400,6399,0,1.1334419250488281
Bubble Sort,Worst Case,50,1225,1225,0.21791458129882812
Selection Sort,Worst Case,50,1225,25,0.0
Insertion Sort,Worst Case,50,1225,1225,0.0
Bubble Sort,Worst Case,100,4950,4950,2.0058155059814453
Selection Sort,Worst Case,100,4950,50,1.0023117065429688
Insertion Sort,Worst Case,100,4950,4950,1.9958019256591797
Bubble Sort,Worst Case,200,19900,19900,6.996393203735352
Selection Sort,Worst Case,200,19900,100,3.148794174194336
Insertion Sort,Worst Case,200,19900,19900,7.079839706420898
Bubble Sort,Worst Case,400,79800,79800,32.4091911315918
Selection Sort,Worst Case,400,79800,200,10.166406631469727
Insertion Sort,Worst Case,400,79800,79800,22.035837173461914
Bubble Sort,Worst Case,800,319600,319600,128.3550262451172
Selection Sort,Worst Case,800,319600,400,48.737525939941406
Insertion Sort,Worst Case,800,319600,319600,92.5912857055664
Bubble Sort,Worst Case,1600,1279200,1279200,505.6900978088379
Selection Sort,Worst Case,1600,1279200,800,180.96280097961426
Insertion Sort,Worst Case,1600,1279200,1279200,347.4090099334717
Bubble Sort,Worst Case,3200,5118400,5118400,2000.9431838989258
Selection Sort,Worst Case,3200,5118400,1600,740.0200366973877
Insertion Sort,Worst Case,3200,5118400,5118400,1444.6489810943604
Bubble Sort,Worst Case,6400,20476800,20476800,8231.673002243042
Selection Sort,Worst Case,6400,20476800,3200,2991.790533065796
Insertion Sort,Worst Case,6400,20476800,20476800,5679.052352905273
